,precision,recall,f1-score,support
apple,0.2,0.05,0.08000000000000002,20.0
banana,0.0,0.0,0.0,6.0
bread,0.6470588235294118,0.7938144329896907,0.7129629629629629,97.0
bruscitt,0.0,0.0,0.0,6.0
cake,0.0,0.0,0.0,4.0
carrot,0.5070422535211268,0.9230769230769231,0.6545454545454545,39.0
cutlet,0.5625,0.23684210526315788,0.3333333333333333,38.0
fennel_gratin,0.5833333333333334,0.3684210526315789,0.4516129032258065,19.0
fillet_fish,1.0,0.09090909090909091,0.16666666666666669,11.0
fries,0.6666666666666666,0.2,0.30769230769230765,10.0
green_beans,0.5,0.5294117647058824,0.5142857142857143,17.0
lasagna_bolognese,0.5714285714285714,0.25,0.34782608695652173,16.0
meat,0.32558139534883723,0.4827586206896552,0.38888888888888895,29.0
orange,0.0,0.0,0.0,13.0
pasta,0.7414965986394558,0.8861788617886179,0.8074074074074075,123.0
pears,0.0,0.0,0.0,19.0
peas,0.6666666666666666,0.2,0.30769230769230765,10.0
pizza,0.5,0.8333333333333334,0.625,12.0
pizzoccheri,0.6666666666666666,0.7692307692307693,0.7142857142857142,13.0
potatoes,0.475,0.5,0.48717948717948717,38.0
pudding,0.2857142857142857,0.07692307692307693,0.12121212121212123,26.0
rice,0.5,0.4666666666666667,0.4827586206896552,15.0
salad,0.21428571428571427,0.2,0.20689655172413796,15.0
salmon,0.25,0.3333333333333333,0.28571428571428575,12.0
salty_cake,0.2692307692307692,0.4375,0.33333333333333337,16.0
savory_pie,0.2857142857142857,0.15384615384615385,0.2,13.0
scallops,0.2777777777777778,0.35714285714285715,0.31250000000000006,14.0
soup,0.0,0.0,0.0,9.0
spinach,0.75,0.23076923076923078,0.3529411764705882,26.0
squid_stew,0.8,0.36363636363636365,0.5000000000000001,11.0
tangerine,0.4,0.14285714285714285,0.21052631578947364,14.0
wet_zucchini,0.38461538461538464,0.29411764705882354,0.33333333333333337,17.0
yogurt,0.26666666666666666,0.16666666666666666,0.2051282051282051,24.0
micro avg,0.5340236686390533,0.4800531914893617,0.5056022408963585,752.0
macro avg,0.40295290484259455,0.3132556391975459,0.316476459955082,752.0
weighted avg,0.4976445105529551,0.4800531914893617,0.4563317816091225,752.0
samples avg,0.5417233560090703,0.4829365079365079,0.4894495980210266,752.0
